Building IRN,Building Name,District IRN,District Name,County,Region,Address,"City, State, Zip Code",Phone #,Principal,Performance Index Score 2016-17,Performance Index Percent 2016-17,Letter Grade of Performance Index,Percent of Students Not Tested,Percent of Students Below,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accelerated,Percent of Students Advanced,Percent of Students Advanced Plus,Gifted Performance Index Score 2016-17,Gifted Performance Index 2016-17,Percent of Gifted Students Not Tested,Percent of Gifted Students Below,Percent of Gifted Students Basic,Percent of Gifted Students Proficient,Percent of Gifted Students Accelerated,Percent of Gifted Students Advanced,Percent of Gifted Students Advanced Plus,Performance Index Score 2015-16,Performance Index Score 2014-15,Watermark
006965,Col Crawford High School,046516,Colonel Crawford Local,Crawford,Region 7,5444 Crestline Rd,"Crestline, OH, 44827-9480",(419) 562-4666,Jacob D. Bruner,70.787,59.0,D,0.0,28.3,27.7,31.2,9.3,3.2,0.3,102.941,85.8,0.0,5.9,0.0,52.9,11.8,29.4,0.0,74.108,89.264,
006999,Colonial Hills Elementary School,045138,Worthington City,Franklin,Region 11,5800 Greenwich St,"Worthington, OH, 43085-3648",(614) 450-5400,Thomas W. Bates,94.316,78.6,C,0.2,12.1,14.5,19.5,23.8,26.5,3.4,117.989,98.3,0.0,0.0,0.5,4.9,17.9,65.8,10.9,92.558,86.387,
007005,Columbia Elementary School,044420,Mount Vernon City,Knox,Region 7,150 Columbus Rd,"Mount Vernon, OH, 43050-4034",(740) 393-5975,Matthew J. Dill,97.472,81.2,B,0.0,6.3,13.8,29.7,28.6,19.3,2.2,118.261,98.6,0.0,0.0,0.0,13.0,13.0,52.2,21.7,95.698,96.028,
007021,Columbia High School,048140,Columbia Local,Lorain,Region 2,14168 W River Rd,"Columbia Station, OH, 44028-9430",(440) 236-5001,Sean A. Lynch,85.182,71.0,C,0.0,11.7,27.4,32.8,15.0,11.3,1.8,112.083,93.4,0.0,0.0,2.1,22.9,29.2,37.5,8.3,78.942,100.918,
007039,Columbia Middle School,048140,Columbia Local,Lorain,Region 2,13646 W River Rd,"Columbia Station, OH, 44028-8911",(440) 236-5741,Robert A. Magyar,92.349,77.0,C,1.8,10.7,14.0,25.0,25.7,21.7,1.1,111.938,93.3,1.9,1.9,0.6,7.5,26.3,58.1,3.8,87.067,77.382,
007054,Columbian High School,044891,Tiffin City,Seneca,Region 7,300 S Monroe St,"Tiffin, OH, 44883-2906",(419) 447-6331,Douglas E. Hartenstein,82.214,68.5,D,1.0,15.2,23.8,34.4,16.9,8.2,0.4,104.526,87.1,2.2,1.5,4.4,28.5,34.3,27.0,2.2,77.738,96.998,
007062,Columbiana High School,045328,Columbiana Exempted Village,Columbiana,Region 5,700 Columbiana Waterford Rd,"Columbiana, OH, 44408-9499",(330) 482-3818,David E. Buzzard,90.993,75.8,C,0.7,6.3,19.5,43.4,21.3,8.8,0.0,111.875,93.2,0.0,0.0,0.0,25.0,31.3,43.8,0.0,82.316,98.803,
007070,Columbus Intermediate School,043562,Bedford City,Cuyahoga,Region 3,23600 Columbus Rd,"Bedford, OH, 44146-2954",(440) 786-3322,Karla M. Robinson,77.126,64.3,D,0.2,23.0,24.3,28.7,17.1,6.4,0.4,112.500,93.7,0.0,2.8,2.8,13.9,16.7,52.8,11.1,75.762,84.242,
007088,Lakeside Junior High School,043513,Ashtabula Area City,Ashtabula,Region 5,6620 Sanborn Rd,"Ashtabula, OH, 44004-9552",(440) 993-2618,Kathleen B. Reichert,65.416,54.5,D,0.6,37.8,23.0,24.7,11.3,2.6,0.0,106.739,88.9,0.0,0.0,2.2,43.5,32.6,21.7,0.0,71.355,75.388,
007096,Columbus Grove Elementary School,049312,Columbus Grove Local,Putnam,Region 1,201 W Cross St,"Columbus Grove, OH, 45830-1237",(419) 659-2631,James J. Kincaid,91.100,75.9,C,0.7,11.7,14.1,32.0,27.1,14.4,0.0,NC,NC,0.0,0.0,0.0,0.0,0.0,100.0,0.0,85.340,88.994,
007104,Columbus Grove High School,049312,Columbus Grove Local,Putnam,Region 1,201 W Cross St,"Columbus Grove, OH, 45830-1237",(419) 659-2156,Brian J. Best,92.862,77.4,C,0.0,7.9,17.8,37.5,19.7,16.1,1.0,114.000,95.0,0.0,0.0,0.0,28.0,4.0,68.0,0.0,91.602,105.258,
007120,Como Elementary School,043802,Columbus City,Franklin,Region 11,2989 Reis Ave,"Columbus, OH, 43224-3939",(614) 365-6013,Summer D. Anthony,59.672,49.7,F,0.5,41.4,31.3,13.6,9.3,3.8,0.0,NC,NC,0.0,14.3,14.3,14.3,28.6,28.6,0.0,69.824,78.955,
007161,Concord Elementary School,044925,Troy City,Miami,Region 10,3145 State Route 718,"Troy, OH, 45373-8908",(937) 332-6730,Daniel A. Hake,102.940,85.8,B,0.2,5.3,7.6,20.6,33.3,32.8,0.2,117.879,98.2,0.0,0.0,0.0,3.0,17.2,77.8,2.0,101.397,92.306,
007187,Conesville Elementary School,046482,River View Local,Coshocton,Region 12,199 State St,"Conesville, OH, 43811-9747",(740) 829-2334,Joel L. Moore,80.783,67.3,D,0.0,20.7,21.7,27.4,20.5,9.4,0.2,110.938,92.4,0.0,3.1,0.0,15.6,34.4,43.8,3.1,76.198,88.588,
007195,Northwestern Middle School,050575,Northwestern Local,Wayne,Region 9,7569 N Elyria Rd,"West Salem, OH, 44287-9707",(419) 846-3974,Joseph E. Brightbill,89.489,74.6,C,0.0,11.7,19.8,28.6,24.6,14.9,0.5,114.696,95.6,0.0,0.0,1.7,7.0,32.2,55.7,3.5,85.537,87.633,
007203,Conneaut Elementary School,043638,Bowling Green City School District,Wood,Region 1,542 Haskins Rd,"Bowling Green, OH, 43402-1613",(419) 354-0300,James R. Lang,98.557,82.1,B,0.0,8.0,10.3,24.9,30.5,26.1,0.2,117.297,97.7,0.0,0.0,0.0,2.7,24.3,70.3,2.7,99.458,101.888,
007211,Conneaut High School,043810,Conneaut Area City,Ashtabula,Region 5,381 Mill St,"Conneaut, OH, 44030-2439",(440) 593-7210,Timothy A. Neal,78.899,65.7,D,0.0,21.3,23.1,30.3,19.3,5.8,0.0,108.333,90.3,0.0,0.0,0.0,33.3,50.0,16.7,0.0,71.557,94.052,
007245,Conotton Valley High School,047548,Conotton Valley Union Local,Harrison,Region 12,7205 Cumberland Rd SW,"Bowerston, OH, 44695-9632",(740) 269-2711,,69.756,58.1,D,0.0,30.6,27.4,25.7,11.7,4.6,0.0,NC,NC,0.0,0.0,0.0,25.0,25.0,50.0,0.0,70.292,82.991,
007260,Continental Local Elementary School,049320,Continental Local,Putnam,Region 1,5211 State Route 634,"Continental, OH, 45831-9155",(419) 596-3860,Brian C. Gerdeman,102.040,85.0,B,0.0,4.0,9.6,27.2,31.7,27.5,0.0,118.667,98.9,0.0,0.0,0.0,0.0,13.3,86.7,0.0,96.066,99.188,
007278,Continental Local High School,049320,Continental Local,Putnam,Region 1,5211 State Route 634,"Continental, OH, 45831-9155",(419) 596-3871,Danny F. Kissell,84.887,70.7,C,2.3,13.2,19.9,33.1,20.6,10.0,1.0,107.193,89.3,0.0,0.0,8.8,21.1,38.6,26.3,5.3,84.142,96.574,
007286,Coventry High School,049999,Coventry Local,Summit,Region 8,1135 Portage Lakes Dr,"Akron, OH, 44319-1431",(330) 644-3004,Cynthia E. McDonald,76.765,64.0,D,0.0,20.3,29.1,31.4,13.1,5.8,0.4,115.455,96.2,0.0,0.0,0.0,18.2,22.7,45.5,13.6,75.504,98.842,
007294,Cookson Elementary School,044925,Troy City,Miami,Region 10,921 Mystic Ln,"Troy, OH, 45373-2254",(937) 332-6740,Stephanie D. Gray-Johnson,86.826,72.4,C,0.0,17.4,17.1,25.9,20.7,18.9,0.0,116.667,97.2,0.0,0.0,0.0,7.1,19.0,73.8,0.0,86.160,90.329,
007302,Coolville Elementary School,045914,Federal Hocking Local,Athens,Region 16,PO Box 490,"Coolville, OH, 45723-0490",(740) 667-3121,Mary T. Mitchell,87.741,73.1,C,0.0,17.0,13.7,31.0,25.4,12.9,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.000,88.565,
007310,Copley High School,049981,Copley-Fairlawn City,Summit,Region 8,3807 Ridgewood Rd,"Copley, OH, 44321-1630",(330) 664-4822,Michael R. Coury,92.399,77.0,C,0.3,9.0,16.8,32.8,24.9,16.2,0.0,111.324,92.8,0.0,1.5,2.2,12.5,35.3,48.5,0.0,92.958,106.311,
007328,Copley-Fairlawn Middle School,049981,Copley-Fairlawn City,Summit,Region 8,1531 S Cleveland Massillon Rd,"Copley, OH, 44321-1907",(330) 664-4875,Kathleen E. Ashcroft,95.813,79.8,C,0.3,9.3,12.5,26.2,28.0,23.5,0.3,115.360,96.1,0.0,0.0,1.4,8.1,23.2,65.9,1.4,95.470,99.426,
007336,Copopa Elementary School,048140,Columbia Local,Lorain,Region 2,13644 W River Rd,"Columbia Station, OH, 44028-8967",(440) 236-5020,Troy W. Bunner,96.754,80.6,B,0.3,7.2,13.4,29.2,24.9,24.6,0.3,115.645,96.4,0.0,0.0,0.0,11.3,22.6,64.5,1.6,93.209,89.825,
007344,Cork Elementary School,044057,Geneva Area City,Ashtabula,Region 5,341 State Route 534 S,"Geneva, OH, 44041-9364",(440) 466-4831,Melissa A. Doherty,95.545,79.6,C,0.0,7.0,15.7,30.8,25.4,21.1,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.750,87.118,
007401,Cory-Rawson High School,047431,Cory-Rawson Local,Hancock,Region 1,3930 County Road 26,"Rawson, OH, 45881-9609",(419) 963-2611,Mark D. Willeke,81.856,68.2,D,0.0,17.1,23.1,36.5,16.8,6.3,0.3,106.279,88.6,0.0,0.0,9.3,23.3,34.9,32.6,0.0,79.744,87.778,
007427,Coshocton High School,043828,Coshocton City,Coshocton,Region 12,1205 Cambridge Rd,"Coshocton, OH, 43812-2741",(740) 622-9433,Grant W. Fauver,76.902,64.1,D,0.1,24.7,23.7,24.5,16.6,9.5,0.8,108.675,90.6,1.2,0.0,8.4,12.0,30.1,42.2,6.0,75.573,88.036,
007450,Crooksville Middle School,045351,Crooksville Exempted Village,Perry,Region 16,12400 Tunnel Hill Rd,"Crooksville, OH, 43731-9558",(740) 982-7010,John J. Toeller,71.820,59.9,D,1.7,29.5,23.6,18.4,18.3,7.5,0.9,103.243,86.0,8.1,0.0,2.7,10.8,37.8,35.1,5.4,72.996,78.604,
007492,Covedale Elementary School,043752,Cincinnati City,Hamilton,Region 13,5130 Sidney Rd,"Cincinnati, OH, 45238-3712",(513) 363-1700,Michele L. Kipp,91.380,76.2,C,0.0,12.2,16.8,24.9,26.4,19.0,0.7,115.280,96.1,0.0,0.0,1.6,3.2,34.4,57.6,3.2,91.676,91.702,
007526,Covington Elementary & Junior High School,045336,Covington Exempted Village,Miami,Region 10,807 Chestnut St,"Covington, OH, 45318-1760",(937) 473-2252,Josh B. Long,96.372,80.3,B,0.5,7.3,13.1,30.0,26.8,22.4,0.0,115.556,96.3,0.0,0.0,0.0,4.4,35.6,60.0,0.0,95.955,98.929,
007534,Covington High School,045336,Covington Exempted Village,Miami,Region 10,807 Chestnut St,"Covington, OH, 45318-1760",(937) 473-3746,Jo A. DeMotte,82.192,68.5,D,0.0,16.8,23.3,36.6,14.4,8.6,0.3,108.947,90.8,0.0,5.3,0.0,21.1,26.3,42.1,5.3,78.462,99.088,
007542,Cox Elementary School,045153,Xenia Community City,Greene,Region 10,506 Dayton Ave,"Xenia, OH, 45385-2657",(937) 372-9201,Lisa M. Peterson,79.416,66.2,D,0.0,23.4,21.1,25.9,17.5,12.2,0.0,108.167,90.1,0.0,1.7,8.3,10.0,33.3,46.7,0.0,73.481,83.581,
007559,Coy Elementary School,044602,Oregon City,Lucas,Region 1,3604 Pickle Rd,"Oregon, OH, 43616-4126",(419) 693-0624,Amy L. Molnar,95.124,79.3,C,0.0,10.7,10.9,27.4,32.1,18.9,0.0,NC,NC,0.0,0.0,0.0,23.5,29.4,47.1,0.0,95.922,97.914,
007567,Cranbrook Elementary School,043802,Columbus City,Franklin,Region 11,908 Bricker Blvd,"Columbus, OH, 43221-1642",(614) 365-5497,Stanley W. Embry,89.467,74.6,C,1.0,16.3,15.0,18.3,21.0,27.0,1.3,118.750,99.0,0.0,0.0,0.0,4.2,12.5,75.0,8.3,87.368,85.935,
007609,Creekview Elementary School,044404,Middletown City,Butler,Region 13,4800 Timber Trail Dr,"Middletown, OH, 45044",(513) 420-4544,Kelly R. Wilham,76.305,63.6,D,0.0,25.5,23.0,25.0,19.0,7.4,0.0,109.444,91.2,0.0,0.0,5.6,22.2,27.8,44.4,0.0,71.115,76.731,
007617,Crestline High School,045344,Crestline Exempted Village,Crawford,Region 7,435 Oldfield Rd,"Crestline, OH, 44827-9404",(419) 683-3647,Dale Strickler,59.026,49.2,F,0.6,43.5,27.5,18.6,8.2,1.5,0.0,NC,NC,0.0,0.0,0.0,66.7,0.0,33.3,0.0,60.504,78.673,
007625,Norwayne Middle School,050567,Norwayne Local,Wayne,Region 9,350 S Main St,"Creston, OH, 44217-9665",(330) 435-1195,Kevin T. Leatherman,100.667,83.9,B,0.0,4.4,12.2,24.7,32.8,23.6,2.2,118.202,98.5,0.0,0.0,0.0,7.9,19.1,56.2,16.9,95.578,103.107,
007633,Crestview Elementary School,043661,Brunswick City,Medina,Region 8,300 W 130th St,"Brunswick, OH, 44212-2309",(330) 273-0482,Jamie L. Schulke,103.480,86.2,B,0.0,4.4,8.2,24.3,28.5,34.3,0.3,118.115,98.4,0.0,0.0,0.0,4.9,10.7,82.8,1.6,99.831,91.429,
007658,Crestview High School,046433,Crestview Local,Columbiana,Region 5,44100 Crestview Rd Ste B,"Columbiana, OH, 44408-9660",(330) 482-4744,Lynda M. Dickson,86.866,72.4,C,0.5,12.0,21.7,34.1,19.8,12.0,0.0,106.833,89.0,3.3,0.0,1.7,20.0,41.7,33.3,0.0,78.345,98.075,
007666,Crestview High School,050351,Crestview Local,Van Wert,Region 1,531 E Tully St,"Convoy, OH, 45832-8864",(419) 749-9100,Michael L. Biro,93.182,77.7,C,0.0,9.5,15.3,34.7,24.0,14.0,2.5,120.714,100.6,0.0,0.0,0.0,7.1,14.3,42.9,35.7,83.364,98.308,
007674,Crestview High School,049429,Crestview Local,Richland,Region 7,1575 State Route 96,"Ashland, OH, 44805-9262",(419) 895-1700,Shannon L. Sprang,85.367,71.1,C,0.3,16.7,17.6,34.0,18.8,12.6,0.0,115.806,96.5,0.0,0.0,0.0,3.2,35.5,61.3,0.0,81.017,100.533,
007690,Crestview Elementary School,050351,Crestview Local,Van Wert,Region 1,531 E Tully St,"Convoy, OH, 45832-8864",(419) 749-9100,Kathleen R. Mollenkopf,105.312,87.8,B,0.0,2.6,7.2,21.9,36.4,31.4,0.4,NC,NC,0.0,0.0,0.0,0.0,23.8,76.2,0.0,102.699,94.516,
007716,Crestwood Elementary School,043943,Elyria City Schools,Lorain,Region 2,42331 Griswold Rd,"Elyria, OH, 44035-2121",(440) 284-8002,STEVEN L. Grossman,77.849,64.9,D,0.6,24.6,20.2,25.8,20.9,7.6,0.4,114.444,95.4,0.0,0.0,0.0,5.6,50.0,38.9,5.6,77.468,82.229,
007724,Crestwood High School,049189,Crestwood Local,Portage,Region 8,10919 Main St,"Mantua, OH, 44255-9676",(330) 274-2214,David P. McMahon,83.860,69.9,D,0.0,14.2,24.0,36.8,16.2,8.8,0.0,111.304,92.8,0.0,0.0,2.2,17.4,39.1,41.3,0.0,74.967,101.537,
007757,Cridersville Elementary School,044982,Wapakoneta City,Auglaize,Region 6,501 Reichelderfer Road,"Cridersville, OH, 45806",(419) 645-3000,Misty L. Baker,91.003,75.8,C,1.0,11.0,17.1,25.1,26.1,19.7,0.0,NC,NC,0.0,0.0,0.0,0.0,0.0,100.0,0.0,90.743,95.736,
007773,Crim Elementary School,043638,Bowling Green City School District,Wood,Region 1,1020 Scott Hamilton Ave,"Bowling Green, OH, 43402-3245",(419) 354-0400,Alyssa J. Karaffa,94.567,78.8,C,0.0,11.8,13.6,21.7,24.2,27.8,1.0,NC,NC,0.0,0.0,0.0,0.0,0.0,62.5,37.5,90.369,92.458,
007799,Crissey Elementary School,048223,Springfield Local,Lucas,Region 1,9220 Geiser Rd,"Holland, OH, 43528-9024",(419) 867-5677,Oatis L. Amick,94.427,78.7,C,0.0,9.7,16.1,24.7,22.4,27.1,0.0,118.113,98.4,0.0,0.0,0.0,3.8,11.3,84.9,0.0,93.652,98.162,
007815,Croghan Elementary School,044016,Fremont City,Sandusky,Region 1,1110 Chestnut St,"Fremont, OH, 43420-4312",(419) 332-1511,Lori A. Pierce,96.277,80.2,B,0.0,7.9,15.5,23.9,25.8,26.6,0.3,NC,NC,0.0,0.0,0.0,0.0,13.3,80.0,6.7,81.436,93.832,
007823,Crooksville High School,045351,Crooksville Exempted Village,Perry,Region 16,4075 Ceramic Way,"Crooksville, OH, 43731-9720",(740) 982-7015,Kevin C. Smith,63.844,53.2,D,0.9,33.1,35.3,14.4,12.2,3.4,0.6,87.931,73.3,0.0,13.8,24.1,6.9,37.9,17.2,0.0,62.427,82.771,
007849,Crosby Elementary School,047381,Southwest Local,Hamilton,Region 13,8382 New Haven Rd,"Harrison, OH, 45030-9207",(513) 738-1717,Kiersten Rogers,104.961,87.5,B,0.0,2.7,7.6,24.4,31.3,34.0,0.0,116.329,96.9,0.0,0.0,0.0,7.6,21.5,70.9,0.0,104.147,94.978,
007856,Byrnedale Elementary School,044909,Toledo City,Lucas,Region 1,3635 Glendale Ave,"Toledo, OH, 43614-3410",(419) 671-2200,Christina L. Ramsey,75.983,63.3,D,0.2,25.3,23.8,24.8,17.5,8.3,0.0,NC,NC,0.0,5.6,0.0,11.1,38.9,44.4,0.0,71.216,79.398,Educator and principal data may be incomplete due to local reporting error. Contact district for more information.
007864,Crouse Community Learning Center,043489,Akron City,Summit,Region 8,1000 Diagonal Rd,"Akron, OH, 44320-3706",(330) 761-1625,TARA G. Bruce,56.538,47.1,F,0.0,47.0,29.3,14.5,7.2,2.0,0.0,NC,NC,0.0,0.0,0.0,20.0,20.0,60.0,0.0,56.774,66.643,
007898,Currie Elementary School,050153,Mathews Local,Trumbull,Region 5,3306 Ridge Rd,"Cortland, OH, 44410-9420",(330) 637-2976,Michael G. King,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
007906,Brookfield Elementary School,050120,Brookfield Local,Trumbull,Region 5,614 Bedford Rd SE,"Brookfield, OH, 44403-9756",(330) 619-5240,Mary R. Walker,89.339,74.4,C,0.3,14.0,15.2,29.5,27.0,14.0,0.0,NC,NC,0.0,0.0,0.0,0.0,53.8,46.2,0.0,79.950,88.228,
007930,Cuyahoga Falls High School,043836,Cuyahoga Falls City,Summit,Region 8,2300 4th St,"Cuyahoga Falls, OH, 44221-2500",(330) 926-3808,Allison M. Bogdan,72.858,60.7,D,0.8,26.6,26.5,26.3,12.4,6.2,1.2,104.318,86.9,1.5,3.8,7.6,13.6,38.6,28.0,6.8,74.192,101.490,
007948,Cuyahoga Hts Elementary School,046557,Cuyahoga Heights Local,Cuyahoga,Region 3,4880 E 71st St,"Cuyahoga Heights, OH, 44125-1043",(216) 429-5880,Joy L. Houchen,105.507,87.9,B,0.0,4.6,5.9,17.4,33.0,38.8,0.2,119.362,99.5,0.0,0.0,0.0,0.0,8.5,89.4,2.1,106.693,104.568,
007955,Cuyahoga Hts High School,046557,Cuyahoga Heights Local,Cuyahoga,Region 3,4820 E 71st St,"Cuyahoga Heights, OH, 44125-1043",(216) 429-5707,William M. Young,96.201,80.2,B,0.0,9.2,10.0,31.4,32.3,17.0,0.0,115.294,96.1,0.0,0.0,0.0,5.9,35.3,58.8,0.0,101.797,108.189,
007963,Elmwood Middle School,050682,Elmwood Local,Wood,Region 1,7650 Jerry City Rd,"Bloomdale, OH, 44817-9763",(419) 655-2583,Roger J. Frank,89.969,75.0,C,0.3,10.1,19.7,31.9,23.5,14.5,0.0,113.182,94.3,0.0,0.0,1.1,17.0,27.3,54.5,0.0,85.974,88.829,
007984,Youngstown Academy of Excellence,007984,Youngstown Academy of Excellence,Mahoning,Region 5,1408 Rigby St,"Youngstown, OH, 44506-1617",(330) 746-3970,Jennifer R. Szallai,60.185,50.2,D,0.0,44.9,24.5,18.5,9.7,2.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.305,66.872,
007995,Cleveland Arts and Social Sciences Academy,007995,Cleveland Arts and Social Sciences Academy,Cuyahoga,Region 3,10701 Shaker Blvd,"Cleveland, OH, 44104-3752",(216) 229-3000,Debroah A. Mays,79.389,66.2,D,0.0,27.1,17.1,20.2,19.3,16.3,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.639,74.600,
007997,Dalton Elementary School,050542,Dalton Local,Wayne,Region 9,PO Box 514,"Dalton, OH, 44618-0514",(330) 828-2707,Shelly L. Menuez,101.702,84.8,B,0.0,5.8,8.5,24.9,30.1,30.7,0.0,118.462,98.7,0.0,0.0,0.0,0.0,15.4,84.6,0.0,100.092,96.750,
007999,Charles School at Ohio Dominican University,007999,Charles School at Ohio Dominican University,Franklin,Region 11,3950 Indianola Ave,"Columbus, OH, 43214-3158",(614) 258-8588,,71.761,59.8,D,0.3,23.3,32.7,32.7,7.5,3.5,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.826,85.369,
008000,Lorain Preparatory Academy,008000,Lorain Preparatory Academy,Lorain,Region 2,4119 Leavitt Rd,"Lorain, OH, 44053-2341",(440) 282-3127,James P. Sinclair,66.387,55.3,D,0.1,35.7,25.6,23.8,12.0,2.7,0.0,0.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.374,71.743,
008003,Dalton High School,050542,Dalton Local,Wayne,Region 9,PO Box 514,"Dalton, OH, 44618-0514",(330) 828-2261,Nathan A. Stutz,90.303,75.3,C,0.0,9.6,17.7,40.9,22.7,9.1,0.0,NC,NC,0.0,0.0,0.0,30.0,20.0,50.0,0.0,90.493,107.428,
008029,Dan Emmett Elementary School,044420,Mount Vernon City,Knox,Region 7,108 Mansfield Ave,"Mount Vernon, OH, 43050-1628",(740) 393-5950,Margaret A. Arck,99.696,83.1,B,0.0,5.8,11.9,22.9,33.7,25.7,0.0,118.800,99.0,0.0,0.0,0.0,0.0,12.0,88.0,0.0,94.282,94.702,
008037,Starling PK-8,043802,Columbus City,Franklin,Region 11,145 S Central Ave,"Columbus, OH, 43222-1324",(614) 365-5945,William F. Doermann,58.654,48.9,F,1.3,45.3,23.6,21.2,7.2,1.5,0.0,96.429,80.4,0.0,2.4,19.0,35.7,28.6,14.3,0.0,56.018,67.747,
008045,Danbury Elementary School,048934,Danbury Local,Ottawa,Region 1,9451 E Harbor Rd,"Lakeside Marblehead, OH, 43440-1310",(419) 798-4081,Daniel E. Humphrey Jr,102.659,85.5,B,0.0,2.9,11.6,23.1,31.8,30.6,0.0,NC,NC,0.0,0.0,0.0,0.0,23.5,76.5,0.0,97.303,96.424,
008052,Danbury High School,048934,Danbury Local,Ottawa,Region 1,9451 E Harbor Rd,"Lakeside Marblehead, OH, 43440-1310",(419) 798-4037,Joseph G. Miller,90.853,75.7,C,0.0,12.4,12.4,43.4,18.6,13.2,0.0,NC,NC,0.0,0.0,0.0,9.1,45.5,45.5,0.0,78.963,102.025,
008054,Blanchester Intermediate School,046383,Blanchester Local,Clinton,Region 14,955 Cherry St,"Blanchester, OH, 45107-7907",(937) 783-2040,Marci L. Goodrich,96.649,80.5,B,0.0,7.5,14.4,25.3,28.7,24.1,0.0,118.936,99.1,0.0,0.0,0.0,2.1,6.4,91.5,0.0,91.782,90.550,
008060,Daniel E Morgan School,043786,Cleveland Municipal,Cuyahoga,Region 3,8912 Morris Ct,"Cleveland, OH, 44106-1033",(216) 838-1400,Dessie M. Sanders,53.778,44.8,F,1.4,47.8,30.8,13.3,3.9,2.8,0.0,75.833,63.2,0.0,25.0,25.0,25.0,16.7,8.3,0.0,46.819,61.531,
008064,Academy of Arts and Sciences,008064,Academy of Arts and Sciences,Lorain,Region 2,4101 Leavitt Rd,"Lorain, OH, 44053-2341",(567) 998-7552,Erik A. Thorson,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
008078,Danville Elementary School,047837,Danville Local,Knox,Region 7,PO Box 30,"Danville, OH, 43014-0030",(740) 599-6116,Tara L. Stringfellow-Bond,83.197,69.3,D,0.0,18.0,19.9,33.9,18.3,9.8,0.0,108.571,90.5,0.0,0.0,4.8,23.8,38.1,33.3,0.0,86.608,90.323,
008086,Danville High School,047837,Danville Local,Knox,Region 7,PO Box 30,"Danville, OH, 43014-0030",(740) 599-6116,Edward L. Honabarger,67.277,56.1,D,0.0,34.6,25.1,29.3,6.8,4.2,0.0,100.000,83.3,0.0,0.0,23.1,15.4,30.8,30.8,0.0,66.895,94.512,
008102,Darbydale Elementary School,044800,South-Western City,Franklin,Region 11,7000 London Groveport Rd,"Grove City, OH, 43123-9661",(614) 801-8050,April M. Weese,87.003,72.5,C,0.6,16.8,16.2,24.9,24.6,16.8,0.0,112.000,93.3,0.0,0.0,0.0,26.7,26.7,46.7,0.0,86.711,94.360,
008110,Gilbert A. Dater High School,043752,Cincinnati City,Hamilton,Region 13,2146 Ferguson Rd,"Cincinnati, OH, 45238-3720",(513) 363-7200,Stephen A. Sippel,55.207,46.0,F,4.8,43.1,26.9,17.7,6.1,1.4,0.1,100.882,84.1,0.0,2.9,8.8,35.3,41.2,11.8,0.0,56.009,74.663,
008112,Northwood Elementary,045476,Marysville Exempted Village,Union,Region 11,1000 Edgewood Dr,"Marysville, OH, 43040-2105",(937) 644-8106,Karen L. Wells,103.408,86.2,B,0.0,6.2,7.5,17.7,29.9,38.8,0.0,119.149,99.3,0.0,0.0,0.0,0.0,8.5,91.5,0.0,98.382,99.422,
008136,David Anderson Jr/Sr High School,045450,Lisbon Exempted Village,Columbiana,Region 5,260 W Pine St,"Lisbon, OH, 44432-1150",(330) 424-3215,Keith Edenfield,84.863,70.7,C,0.0,16.9,19.2,29.9,24.2,9.6,0.1,111.881,93.2,0.0,0.0,0.0,18.8,44.6,35.6,1.0,81.967,93.390,
008151,David Smith Elementary School,043877,Delaware City,Delaware,Region 11,355 N Liberty St,"Delaware, OH, 43015-1229",(740) 833-1350,Rochelle T. Thompson,97.761,81.5,B,0.5,8.4,11.8,22.4,26.1,30.1,0.8,116.731,97.3,1.9,0.0,0.0,1.0,12.5,79.8,4.8,100.274,102.909,
008162,Olentangy Meadows Elementary School,046763,Olentangy Local,Delaware,Region 11,8950 Emerald Hill Drive,"Lewis, OH, 43035",(740) 657-5550,Kristin E. Baker,105.034,87.5,B,0.0,4.6,6.7,20.3,27.8,39.8,0.7,118.712,98.9,0.0,0.0,0.0,0.6,14.1,82.8,2.5,104.464,100.877,
008185,Daw Elementary School,045039,Wellsville Local,Columbiana,Region 5,929 Center St,"Wellsville, OH, 43968-1423",(330) 532-1372,,87.500,72.9,C,0.2,13.4,19.1,31.9,24.2,11.3,0.0,115.000,95.8,0.0,0.0,0.0,8.3,33.3,58.3,0.0,88.710,90.861,
008201,Primary Elementary School,044024,Galion City,Crawford,Region 7,478 Portland Way N,"Galion, OH, 44833-1115",(419) 468-4010,Melisa M. Stone-Watters,NC,NC,NR,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,NC,
